matchID,year,t_games,win_rate,avg_points,fgr,fg3r,ftr,orr,drr,astr,tor,stlr,blkr,pfr
2017_1112_1116,2017,1,0.133,-4.86290322581,0.007,0.026,0.005,-1.07661290323,1.46975806452,-0.415322580645,-0.397177419355,-1.85685483871,-1.39516129032,-4.15120967742
2017_1112_1124,2017,0,0.094,3.03125,0.001,0.036,0.047,-2.5,1.21875,-1.8125,-2.125,0.5,-1.53125,-1.0
2017_1112_1137,2017,-2,0.11,-0.397058823529,-0.009,0.018,0.085,1.75735294118,0.613970588235,-0.742647058824,-1.95220588235,-1.61397058824,-0.573529411765,-1.84191176471
2017_1112_1139,2017,1,0.133,-0.540322580645,-0.006,0.032,0.024,1.60080645161,3.11491935484,0.681451612903,1.15120967742,-0.663306451613,0.443548387097,-2.21572580645
2017_1112_1153,2017,1,0.004,1.07258064516,0.012,0.047,0.095,-1.85080645161,1.37298387097,-2.60887096774,0.89314516129,-2.08266129032,-1.97580645161,1.07459677419
2017_1112_1166,2017,0,0.125,-7.28125,-0.037,-0.003,0.081,2.09375,-0.59375,-3.5,-1.0,-0.84375,0.3125,0.21875
2017_1112_1173,2017,2,0.075,-1.01666666667,0.0,0.01,0.073,1.675,0.570833333333,-1.89166666667,-0.820833333333,-2.4375,-0.883333333333,-2.14583333333
2017_1112_1181,2017,-1,0.117,-4.70454545455,-0.001,0.024,0.011,-0.412878787879,0.589015151515,0.693181818182,0.0397727272727,-0.346590909091,-1.02272727273,-1.43371212121
2017_1112_1190,2017,-2,0.081,-4.16176470588,-0.019,0.012,0.06,0.227941176471,0.202205882353,-0.948529411765,-3.45220588235,-2.79044117647,-1.51470588235,-3.28308823529
2017_1112_1195,2017,-1,0.087,-3.67424242424,-0.03,0.045,0.062,-0.837121212121,-0.0170454545455,-1.54924242424,-1.14204545455,-0.528409090909,-0.234848484848,-1.85795454545
2017_1112_1196,2017,1,0.101,-3.0564516129,0.018,0.029,0.037,-1.17338709677,0.792338709677,1.10080645161,-0.590725806452,-2.08266129032,-1.45967741935,-1.95766129032
2017_1112_1199,2017,0,0.094,-7.0,-0.011,0.038,0.071,-1.5,0.6875,-0.96875,-0.3125,-1.90625,-1.9375,-2.8125
2017_1112_1211,2017,-1,-0.095,-8.82575757576,-0.046,0.013,0.026,1.04166666667,-4.5321969697,-2.1553030303,0.0397727272727,-1.58901515152,-1.20454545455,0.293560606061
2017_1112_1233,2017,-2,0.228,-4.72058823529,0.017,-0.002,-0.006,0.786764705882,0.0551470588235,-1.74264705882,-0.775735294118,-1.34926470588,0.279411764706,-2.48897058824
2017_1112_1235,2017,1,0.198,-5.0564516129,0.008,-0.007,0.064,0.858870967742,0.85685483871,-2.18951612903,1.1189516129,-2.37298387097,-0.298387096774,0.719758064516
2017_1112_1240,2017,-2,0.287,6.01470588235,0.015,0.023,0.052,0.110294117647,0.790441176471,-0.213235294118,-2.30514705882,0.974264705882,-0.455882352941,-1.37132352941
2017_1112_1242,2017,0,0.0,-6.96875,-0.015,-0.01,0.098,-1.65625,-0.40625,-2.40625,-1.78125,-1.375,-1.4375,-1.375
2017_1112_1243,2017,0,0.25,3.34375,0.012,0.03,0.072,0.71875,3.4375,-1.21875,-1.8125,-2.4375,-0.46875,-1.125
2017_1112_1245,2017,-1,0.269,-1.64393939394,0.046,0.077,0.045,-5.01893939394,0.982954545455,1.26893939394,-1.96022727273,-0.982954545455,-0.568181818182,-2.61553030303
2017_1112_1246,2017,1,0.036,-11.0241935484,-0.006,0.044,0.064,-2.39919354839,-1.33669354839,-2.22177419355,-0.655241935484,-0.469758064516,-2.13709677419,-2.57056451613
2017_1112_1257,2017,0,0.125,-1.78125,0.016,0.036,0.079,-2.90625,0.03125,0.28125,0.15625,-1.1875,-2.25,-2.75
2017_1112_1266,2017,1,0.262,-6.76612903226,-0.015,-0.035,-0.015,1.53629032258,2.05040322581,-2.67338709677,-0.881048387097,-1.79233870968,-0.362903225806,-2.66733870968
2017_1112_1268,2017,1,0.101,1.26612903226,0.022,0.032,0.063,-0.463709677419,0.985887096774,-0.479838709677,-1.65524193548,0.239919354839,-1.52419354839,-1.79637096774
2017_1112_1274,2017,0,0.219,6.375,0.019,0.036,0.046,-0.6875,1.46875,1.96875,-1.40625,-0.8125,-0.625,1.1875
2017_1112_1276,2017,0,0.219,1.09375,-0.009,0.01,-0.008,2.6875,4.6875,0.03125,1.90625,-0.375,0.53125,1.59375
2017_1112_1277,2017,0,0.281,3.59375,0.0,0.011,0.102,1.1875,-0.9375,-3.3125,-2.90625,1.09375,-1.59375,-3.5625
2017_1112_1278,2017,1,0.133,0.137096774194,0.038,0.047,0.061,-0.818548387097,-2.46572580645,-1.3185483871,-0.461693548387,-0.308467741935,-3.78225806452,-0.151209677419
2017_1112_1291,2017,-2,0.316,7.42647058824,0.028,0.038,0.089,2.72794117647,3.79044117647,2.72794117647,-1.83455882353,-0.643382352941,-0.75,-1.3125
2017_1112_1292,2017,0,0.375,-4.28125,0.037,0.02,0.034,-0.125,0.46875,0.65625,-0.96875,-0.09375,0.9375,-6.1875
2017_1112_1297,2017,-2,0.169,-0.397058823529,0.013,0.042,0.088,-0.742647058824,-0.0625,-0.0955882352941,-2.21691176471,-0.143382352941,0.455882352941,-0.959558823529
2017_1112_1300,2017,1,0.133,0.427419354839,0.012,0.054,0.082,-1.4314516129,-0.401209677419,-0.383064516129,-0.945564516129,-0.340725806452,-0.201612903226,-1.05443548387
2017_1112_1305,2017,0,0.062,-4.15625,0.022,0.01,0.06,-0.6875,-1.375,-2.46875,0.21875,0.25,-1.09375,-0.0625
2017_1112_1308,2017,1,0.036,-3.50806451613,0.007,0.062,0.049,-2.72177419355,-0.433467741935,-1.09274193548,-2.07459677419,0.885080645161,-0.491935483871,-1.89314516129
2017_1112_1309,2017,3,0.254,2.5775862069,0.0,0.068,0.049,-1.65948275862,2.50646551724,-2.19396551724,-5.75646551724,-2.16163793103,0.0775862068966,-0.933189655172
2017_1112_1314,2017,-1,0.057,-9.2196969697,-0.001,0.024,0.061,-5.23106060606,-1.44128787879,-4.18560606061,-0.657196969697,-1.4375,-0.0227272727273,-0.797348484848
2017_1112_1315,2017,3,0.185,-4.73275862069,-0.013,0.01,0.041,0.995689655172,-0.0452586206897,-1.43534482759,-2.30818965517,-2.36853448276,0.25,-4.10560344828
2017_1112_1321,2017,0,0.187,3.96875,0.037,0.054,0.011,-0.5,0.6875,-1.6875,0.96875,0.53125,-1.96875,-2.5625
2017_1112_1323,2017,0,0.125,-2.5625,0.009,0.008,-0.041,1.0625,1.625,-2.21875,1.71875,-1.625,-0.625,1.84375
2017_1112_1329,2017,0,0.25,-9.78125,0.008,-0.006,-0.023,-3.3125,3.40625,-0.78125,-1.875,-2.21875,0.25,-5.4375
2017_1112_1332,2017,0,0.0,-3.5,-0.012,0.015,0.06,-0.25,0.15625,-3.03125,-0.5,-0.9375,-3.5,0.84375
2017_1112_1343,2017,5,0.097,3.60185185185,0.018,0.011,0.033,2.26388888889,1.32638888889,-0.384259259259,1.20138888889,-1.32638888889,0.212962962963,0.465277777778
2017_1112_1344,2017,0,0.25,5.5,0.025,0.027,0.073,1.40625,1.84375,-0.3125,-1.28125,-1.15625,0.25,-0.4375
2017_1112_1345,2017,1,0.069,-4.70161290323,-0.008,-0.011,-0.006,0.536290322581,-1.78830645161,-4.28629032258,-1.6875,0.465725806452,0.733870967742,1.04233870968
2017_1112_1348,2017,2,0.175,2.65,0.024,0.068,0.108,-1.825,1.00416666667,0.508333333333,-0.0208333333333,-1.07083333333,-2.95,-4.44583333333
2017_1112_1355,2017,-2,0.346,-1.80882352941,0.013,0.032,-0.012,1.34558823529,0.4375,0.610294117647,-1.59926470588,0.356617647059,0.926470588235,0.0110294117647
2017_1112_1371,2017,1,0.198,1.78225806452,0.021,0.058,0.118,-2.65725806452,-0.14314516129,1.35887096774,-2.23588709677,-1.34072580645,0.766129032258,-1.95766129032
2017_1112_1374,2017,1,0.004,1.16935483871,0.002,-0.008,0.071,-2.01209677419,-0.175403225806,-2.64112903226,0.538306451613,-0.372983870968,-0.16935483871,2.23588709677
2017_1112_1376,2017,1,0.165,3.07258064516,0.056,0.053,0.069,-2.23790322581,2.4375,1.00403225806,-2.20362903226,-2.34072580645,-0.653225806452,-4.1189516129
2017_1112_1388,2017,0,0.0,3.75,-0.024,-0.004,0.016,0.75,0.5,-2.875,0.78125,1.40625,0.0625,1.9375
2017_1112_1407,2017,-1,0.299,-3.06818181818,0.014,0.029,0.041,-0.594696969697,0.407196969697,0.541666666667,-1.35416666667,-0.467803030303,-0.386363636364,-1.25189393939
2017_1112_1411,2017,0,0.219,0.3125,0.039,0.096,0.026,-1.5,3.21875,2.15625,0.09375,-1.21875,0.09375,-0.71875
2017_1112_1413,2017,0,0.25,4.5,0.031,0.032,0.099,0.34375,1.15625,0.5625,-2.875,-0.15625,0.0625,-2.9375
2017_1112_1417,2017,0,-0.031,-15.09375,-0.05,-0.018,0.026,0.53125,-3.1875,-7.78125,-0.15625,-0.65625,-2.15625,0.46875
2017_1112_1423,2017,-2,0.022,-9.42647058824,-0.01,0.029,0.072,-1.625,2.52573529412,-2.27205882353,0.900735294118,-1.20220588235,-0.0735294117647,-3.28308823529
2017_1112_1425,2017,-1,0.148,-2.94696969697,0.018,0.032,0.025,-0.412878787879,1.07386363636,-1.42803030303,0.191287878788,-1.67992424242,-2.17424242424,0.808712121212
2017_1112_1433,2017,1,0.101,0.975806451613,0.006,0.064,0.053,-0.237903225806,0.985887096774,-1.51209677419,-1.52620967742,-2.11491935484,-0.846774193548,-4.15120967742
2017_1112_1435,2017,0,0.312,4.21875,0.036,0.015,-0.007,2.0625,0.3125,0.78125,-1.0,1.40625,-0.5,-0.09375
2017_1112_1436,2017,-1,0.027,1.65909090909,-0.028,0.026,0.064,1.01136363636,1.49810606061,0.359848484848,-0.142045454545,-0.225378787879,-1.02272727273,0.839015151515
2017_1112_1437,2017,0,-0.031,-2.75,-0.028,0.021,-0.035,1.8125,1.5625,-0.625,0.25,-1.625,0.25,2.3125
2017_1112_1438,2017,0,0.187,9.15625,0.008,0.002,0.056,1.5625,2.3125,-0.375,1.78125,-0.09375,-0.8125,0.4375
2017_1112_1439,2017,0,0.187,-3.5,-0.018,-0.008,0.03,3.0625,1.15625,-1.21875,-0.8125,1.5625,0.46875,0.28125
2017_1112_1448,2017,0,0.281,-6.90625,0.0,0.008,-0.009,-0.3125,0.3125,-1.6875,-0.46875,0.09375,-0.5,-3.40625
2017_1112_1452,2017,0,0.094,-7.4375,0.01,0.031,0.081,-4.09375,3.5,-3.1875,-1.0625,-5.15625,-1.375,-3.9375
2017_1112_1455,2017,-2,-0.007,-6.30882352941,-0.002,-0.013,0.03,-1.53676470588,-2.41544117647,-2.68382352941,0.165441176471,-1.29044117647,-0.485294117647,-2.22426470588
2017_1112_1457,2017,0,0.062,-3.96875,0.015,0.022,0.044,0.59375,-1.1875,1.03125,-1.84375,-1.0,-2.0,-1.53125
2017_1112_1458,2017,1,0.133,3.36290322581,0.019,0.046,0.12,-2.07661290323,1.21169354839,0.229838709677,0.280241935484,-1.40524193548,-0.427419354839,0.558467741935
2017_1112_1462,2017,-1,0.239,1.05303030303,0.019,0.058,0.077,-1.92803030303,0.952651515152,-1.00378787879,-1.50568181818,-0.528409090909,0.613636363636,-2.16098484848
2017_1116_1124,2017,-1,-0.039,7.89415322581,-0.006,0.01,0.042,-1.42338709677,-0.251008064516,-1.39717741935,-1.72782258065,2.35685483871,-0.136088709677,3.15120967742
2017_1116_1137,2017,-3,-0.023,4.46584440228,-0.016,-0.008,0.08,2.8339658444,-0.855787476281,-0.327324478178,-1.555028463,0.242884250474,0.821631878558,2.30929791271
2017_1116_1139,2017,0,0.0,4.32258064516,-0.013,0.006,0.019,2.67741935484,1.64516129032,1.09677419355,1.54838709677,1.1935483871,1.83870967742,1.93548387097
2017_1116_1153,2017,0,-0.129,5.93548387097,0.005,0.021,0.09,-0.774193548387,-0.0967741935484,-2.1935483871,1.29032258065,-0.225806451613,-0.58064516129,5.22580645161
2017_1116_1166,2017,-1,-0.008,-2.41834677419,-0.044,-0.029,0.076,3.17036290323,-2.06350806452,-3.08467741935,-0.602822580645,1.01310483871,1.70766129032,4.36995967742
2017_1116_1173,2017,1,-0.058,3.84623655914,-0.007,-0.016,0.068,2.75161290323,-0.898924731183,-1.47634408602,-0.423655913978,-0.58064516129,0.511827956989,2.00537634409
2017_1116_1181,2017,-2,-0.016,0.158357771261,-0.008,-0.002,0.006,0.663734115347,-0.880742913001,1.10850439883,0.436950146628,1.51026392962,0.372434017595,2.71749755621
2017_1116_1190,2017,-3,-0.052,0.701138519924,-0.026,-0.014,0.055,1.3045540797,-1.26755218216,-0.53320683112,-3.055028463,-0.933586337761,-0.11954459203,0.868121442125
2017_1116_1195,2017,-2,-0.046,1.18866080156,-0.037,0.019,0.057,0.239491691105,-1.48680351906,-1.1339198436,-0.744868035191,1.3284457478,1.16031280547,2.29325513196
2017_1116_1196,2017,0,-0.032,1.8064516129,0.011,0.003,0.032,-0.0967741935484,-0.677419354839,1.51612903226,-0.193548387097,-0.225806451613,-0.0645161290323,2.1935483871
2017_1116_1199,2017,-1,-0.039,-2.13709677419,-0.018,0.012,0.066,-0.423387096774,-0.782258064516,-0.553427419355,0.0846774193548,-0.0493951612903,-0.542338709677,1.33870967742
2017_1116_1211,2017,-2,-0.228,-3.96285434995,-0.053,-0.013,0.021,2.11827956989,-6.00195503421,-1.73998044966,0.436950146628,0.267839687195,0.190615835777,4.44477028348
2017_1116_1233,2017,-3,0.095,0.142314990512,0.01,-0.028,-0.011,1.86337760911,-1.41461100569,-1.32732447818,-0.378557874763,0.507590132827,1.67457305503,1.66223908918
2017_1116_1235,2017,0,0.065,-0.193548387097,0.001,-0.033,0.059,1.93548387097,-0.612903225806,-1.77419354839,1.51612903226,-0.516129032258,1.09677419355,4.87096774194
2017_1116_1240,2017,-3,0.154,10.8776091082,0.008,-0.003,0.047,1.18690702087,-0.679316888046,0.202087286528,-1.90796963947,2.83111954459,0.939278937381,2.77988614801
2017_1116_1242,2017,-1,-0.133,-2.10584677419,-0.022,-0.036,0.093,-0.579637096774,-1.87600806452,-1.99092741935,-1.38407258065,0.48185483871,-0.0423387096774,2.77620967742
2017_1116_1243,2017,-1,0.117,8.20665322581,0.005,0.004,0.067,1.79536290323,1.96774193548,-0.803427419355,-1.41532258065,-0.58064516129,0.926411290323,3.02620967742
2017_1116_1245,2017,-2,0.136,3.21896383187,0.039,0.051,0.04,-3.94232649071,-0.486803519062,1.68426197458,-1.56304985337,0.873900293255,0.826979472141,1.53567937439
2017_1116_1246,2017,0,-0.097,-6.16129032258,-0.013,0.018,0.059,-1.32258064516,-2.8064516129,-1.8064516129,-0.258064516129,1.38709677419,-0.741935483871,1.58064516129
2017_1116_1257,2017,-1,-0.008,3.08165322581,0.009,0.01,0.074,-1.82963709677,-1.43850806452,0.696572580645,0.553427419355,0.66935483871,-0.854838709677,1.40120967742
2017_1116_1266,2017,0,0.129,-1.90322580645,-0.022,-0.061,-0.02,2.61290322581,0.58064516129,-2.25806451613,-0.483870967742,0.0645161290323,1.03225806452,1.48387096774
2017_1116_1268,2017,0,-0.032,6.12903225806,0.015,0.006,0.058,0.612903225806,-0.483870967742,-0.0645161290323,-1.25806451613,2.09677419355,-0.129032258065,2.35483870968
2017_1116_1274,2017,-1,0.086,11.2379032258,0.012,0.01,0.041,0.389112903226,-0.00100806451613,2.38407258065,-1.00907258065,1.04435483871,0.770161290323,5.33870967742
2017_1116_1276,2017,-1,0.086,5.95665322581,-0.016,-0.016,-0.013,3.76411290323,3.21774193548,0.446572580645,2.30342741935,1.48185483871,1.92641129032,5.74495967742
2017_1116_1277,2017,-1,0.148,8.45665322581,-0.007,-0.015,0.097,2.26411290323,-2.40725806452,-2.89717741935,-2.50907258065,2.95060483871,-0.198588709677,0.588709677419
2017_1116_1278,2017,0,0.0,5.0,0.031,0.021,0.056,0.258064516129,-3.93548387097,-0.903225806452,-0.0645161290323,1.54838709677,-2.38709677419,4.0
2017_1116_1291,2017,-3,0.183,12.289373814,0.021,0.012,0.084,3.8045540797,2.32068311195,3.14326375712,-1.43738140417,1.21347248577,0.645161290323,2.83870967742
2017_1116_1292,2017,-1,0.242,0.581653225806,0.03,-0.006,0.029,0.951612903226,-1.00100806452,1.07157258065,-0.571572580645,1.76310483871,2.33266129032,-2.03629032258
2017_1116_1297,2017,-3,0.036,4.46584440228,0.006,0.016,0.083,0.333965844402,-1.53225806452,0.319734345351,-1.81973434535,1.71347248577,1.85104364326,3.19165085389
2017_1116_1300,2017,0,0.0,5.29032258065,0.005,0.028,0.077,-0.354838709677,-1.87096774194,0.0322580645161,-0.548387096774,1.51612903226,1.1935483871,3.09677419355
2017_1116_1305,2017,-1,-0.071,0.706653225806,0.015,-0.016,0.055,0.389112903226,-2.84475806452,-2.05342741935,0.615927419355,2.10685483871,0.301411290323,4.08870967742
2017_1116_1308,2017,0,-0.097,1.35483870968,0.0,0.036,0.044,-1.64516129032,-1.90322580645,-0.677419354839,-1.67741935484,2.74193548387,0.903225806452,2.25806451613
2017_1116_1309,2017,2,0.121,7.4404894327,-0.007,0.042,0.044,-0.582869855395,1.03670745273,-1.7786429366,-5.35928809789,-0.304783092325,1.47274749722,3.21802002225
2017_1116_1314,2017,-2,-0.076,-4.35679374389,-0.008,-0.002,0.056,-4.15444770283,-2.9110459433,-3.77028347996,-0.260019550342,0.41935483871,1.3724340176,3.35386119257
2017_1116_1315,2017,2,0.052,0.130144605117,-0.02,-0.016,0.036,2.0723025584,-1.51501668521,-1.02002224694,-1.91101223582,-0.511679644049,1.64516129032,0.0456062291435
2017_1116_1321,2017,-1,0.054,8.83165322581,0.03,0.028,0.006,0.576612903226,-0.782258064516,-1.27217741935,1.36592741935,2.38810483871,-0.573588709677,1.58870967742
2017_1116_1323,2017,-1,-0.008,2.30040322581,0.002,-0.018,-0.046,2.13911290323,0.155241935484,-1.80342741935,2.11592741935,0.23185483871,0.770161290323,5.99495967742
2017_1116_1329,2017,-1,0.117,-4.91834677419,0.001,-0.032,-0.028,-2.23588709677,1.93649193548,-0.365927419355,-1.47782258065,-0.36189516129,1.64516129032,-1.28629032258
2017_1116_1332,2017,-1,-0.133,1.36290322581,-0.019,-0.011,0.055,0.826612903226,-1.31350806452,-2.61592741935,-0.102822580645,0.91935483871,-2.10483870968,4.99495967742
